article,density,structure,code_readiness,pattern,completeness,overall,status,flags
how-to-access-azureml-behind-firewall.md,3,3,2,3,3,2.8,Provisional,"LongIntro|IncompleteSnippet"
how-to-access-data-batch-endpoints-jobs.md,3,3,3,3,3,3.0,Provisional,"MissingOutcome|TabParity[TO VERIFY]"
how-to-access-data-interactive.md,3,3,3,3,3,3.0,Provisional,"LongIntroBorderline"
how-to-access-on-premises-resources.md,3,3,2,3,3,2.9,Provisional,"NetworkingRiskNoteWeak"
how-to-access-resources-from-endpoints-managed-identities.md,3,3,3,3,3,3.0,Provisional,"RoleMatrixOpportunity"
how-to-access-terminal.md,3,3,2,3,3,2.9,Provisional,"NoHelloWorld|MinimalOutcome"
how-to-add-users.md,2,3,1,3,2,2.3,Provisional,"LongIntro|MissingPrereqsH2|SparseProcedures"
how-to-administrate-data-authentication.md,2,2,1,2,2,1.9,Provisional,"ConceptDrift|MissingPrereqsH2"
how-to-assign-roles.md,2,3,2,3,3,2.6,Provisional,"DenseTables"
how-to-authenticate-batch-endpoint.md,3,4,3,4,4,3.6,Provisional,""
how-to-authenticate-online-endpoint.md,3,4,3,4,4,3.6,Provisional,""
how-to-auto-train-forecast.md,2,2,3,2,3,2.5,Provisional,"LongIntro|ConceptBlend|TabGaps"
how-to-auto-train-image-models.md,3,3,3,3,3,3.0,Provisional,"LargeArchTables"
how-to-auto-train-nlp-models.md,3,3,3,3,3,3.0,Provisional,"LargeArchTables"
how-to-autoscale-endpoints.md,3,3,3,3,3,3.0,Provisional,"PotentialError(scale-in-direction)"
how-to-azure-container-for-pytorch-environment.md,2,3,1,3,2,2.3,Provisional,"MinimalCode"
how-to-batch-scoring-script.md,3,2,3,2,3,2.7,Provisional,"TopicMismatch"
how-to-built-in-policy-model-deployment.md,2,3,1,3,2,2.3,Provisional,"NeedsAutomationExample"
how-to-change-storage-access-key.md,4,4,4,4,4,4.0,Provisional,""
how-to-collect-production-data.md,4,4,4,4,4,4.0,Final,""
how-to-configure-auto-train.md,4,4,4,4,4,4.0,Final,""
how-to-configure-cli.md,4,4,4,4,4,4.0,Final,""
how-to-configure-environment.md,4,4,3,4,4,3.8,Final,"MinorOutcomeGap"
how-to-configure-network-isolation-with-v2.md,3,3,2,3,3,3.0,Final,"ConceptHeavy"
apache-spark-environment-configuration.md,3,3,2,3,3,2.9,Provisional,"PrereqsPlacementCouldImprove"
how-to-attach-kubernetes-to-workspace.md,3,4,3,4,4,3.6,Provisional,"MissingOutcome"
how-to-connect-models-serverless.md,4,4,4,4,4,4.0,Provisional,""
how-to-create-component-pipeline-python.md,3,4,3,3,4,3.4,Provisional,"TitleCaseIssue|ExternalCodeIncludes|MissingOutcome"
how-to-create-attach-compute-studio.md,3,4,2,4,3,3.2,Provisional,"MinimalCode|MissingOutcome"
how-to-create-attach-compute-cluster.md,4,4,4,4,4,4.0,Provisional,"StrongExamples"
how-to-create-compute-instance.md,4,4,4,4,4,4.0,Provisional,"LongDoc|DupLinks"
how-to-create-component-pipelines-cli.md,3,4,3,3,4,3.4,Provisional,"TitleCaseIssue|MissingOutcome"
how-to-create-component-pipelines-ui.md,3,4,2,3,3,3.0,Provisional,"CodeLight|PrereqCLIOptional"
how-to-create-data-assets.md,4,4,4,4,4,4.0,Provisional,"ExtensiveReference"
how-to-create-image-labeling-projects.md,3,3,2,3,3,2.8,Provisional,"MinimalCode|UIHeavy"
how-to-create-text-labeling-projects.md,3,3,2,3,3,2.8,Provisional,"MinimalCode|UIHeavy"
how-to-create-vector-index.md,3,3,2,3,3,2.8,Provisional,"MinimalCode|MissingOutcome"
how-to-create-workspace-template.md,3,4,4,4,4,3.9,Provisional,"LongDoc|LongIntroBorderline"
how-to-manage-workspace.md,4,4,4,4,4,4.0,Provisional,"MinorTypo(link-parenthesis)"
how-to-manage-workspace-cli.md,4,4,4,4,4,4.0,Provisional,""
how-to-manage-workspace-powershell.md,3,2,3,2,3,2.6,Provisional,"IncompleteSnippet|BrokenCodeFence|FormattingError"
how-to-custom-dns.md,3,4,3,4,4,3.6,Provisional,"LongDoc|ConceptHeavy"
how-to-custom-policy-model-deployment.md,3,3,3,4,3,3.2,Provisional,"MissingOutcome|PolicyTestingGap"
how-to-customize-compute-instance.md,4,4,3,4,4,3.8,Provisional,"ClarifyTimeoutParam"
how-to-datastore.md,4,4,4,4,4,4.0,Provisional,"SecretPlaceholderFormatting"
how-to-deploy-automl-endpoint.md,3,4,3,4,4,3.6,Provisional,"NoEarlyOutcome|MinorYAMLRefNote"
how-to-deploy-custom-container.md,4,4,4,4,4,4.0,Provisional,"LongDoc|DenseConceptBlocks"
how-to-deploy-kubernetes-extension.md,3,4,2,3,3,3.0,Provisional,"LongIntro|ConfigTableOverload|MissingOutcome"
how-to-deploy-mlflow-model-spark-jobs.md,3,3,3,3,3,3.0,Provisional,"MixedComputeContext|MinorCodeTypos"
how-to-deploy-mlflow-models-online-endpoints.md,4,4,4,4,4,4.0,Provisional,"VeryLongDoc|OptionalRedundancy"